Datetime;Breaks;Date;Time;VANNE_UTA_CHAUD [I];VANNE_UTA_FROID [I];TEMPERATURE_SONDE [R];PRESSION_EXTERIEUR [R];HYGROMETRIE_CELLULE [R];TEMPERATURE_REPRISE [R];TEMPERATURE_CONSIGNE [R];TEMPERATURE_SOUFFLAGE [R];TEMPERATURE_ALLER_CHAUD [R];TEMPERATURE_ALLER_FROID [R];MA_VARIATEUR [B]
2024-04-12 23:00:08;0;0;0;0.0;32.8;-9.96999988;1055.0;73.6;-9.520000079999999;-10.0;-10.08;42.7600003;-11.940000000000001;0.0
2024-04-12 23:05:08;0;0;0;0.2;29.6;-10.059999979999999;1055.0;73.7;-9.56999998;-10.0;-10.129999999999999;43.05;-12.03;0.0
2024-04-12 23:10:08;0;0;0;0.1;25.0;-9.57000008;1055.0;74.1;-9.0500001;-9.4;-9.57000008;43.209999800000006;-11.74;0.0
2024-04-12 23:15:08;0;0;0;2.6153846153846154;28.153846153846153;-9.092307676923078;1055.0;74.53846153846153;-8.561538476923078;-8.9;-8.823076907692307;42.938462;-12.292307692307693;0.0
2024-04-12 23:20:08;0;0;0;2.6;22.3;-8.64000006;1055.0;74.3;-8.13000017;-8.4;-8.3;42.6599998;-11.76;0.0
2024-04-12 23:25:08;0;0;0;3.25;19.9;-8.24500008;1055.0;74.3;-7.6950001299999995;-7.9;-7.83000007;42.8499995;-12.02;0.0
2024-04-12 23:30:08;0;0;0;5.6;16.8;-7.77000008;1055.0;73.65;-7.260000015;-7.33;-7.1999999500000005;43.31000005;-11.684999999999999;0.0
2024-04-12 23:35:08;0;0;0;5.5;13.85;-7.27499995;1055.0;73.2;-6.785000065;-6.825;-6.645000005;42.87000035;-12.290000000000001;0.0
2024-04-12 23:40:08;0;0;0;6.235294117647059;11.647058823529411;-6.835294164705882;1055.0;72.17647058823529;-6.347058917647058;-6.329411764705882;-6.076470629411765;42.729411588235294;-11.876470588235295;0.0
2024-04-12 23:45:09;0;0;0;6.3;10.4;-6.32000003;1055.0;71.2;-5.83000007;-5.8;-5.47000003;43.3100003;-11.78;0.0
2024-04-12 23:50:09;0;0;0;6.4;7.6;-5.81999998;1055.0;70.6;-5.35999999;-5.3;-4.94000001;42.8800009;-12.190000000000001;0.0
2024-04-12 23:55:09;0;0;0;6.333333333333333;8.444444444444445;-5.200000077777777;1055.0;69.88888888888889;-4.744444533333333;-4.7;-4.222222166666667;42.76666633333333;-11.855555555555556;0.0
2024-05-12 00:00:09;0;0;0;6.7;6.4;-4.7399999600000005;1055.0;69.1;-4.28000002;-4.2;-3.6399999700000003;43.2300004;-12.11;0.0
2024-05-12 00:05:09;0;0;0;6.6;6.4;-4.19000006;1055.0;68.3;-3.7700000099999995;-3.7;-3.09000003;42.790000199999994;-11.97;0.0
2024-05-12 00:10:09;0;0;0;7.1;5.9;-3.6899999799999996;1055.0;68.0;-3.30000002;-3.2;-2.54999998;43.1600003;-12.0;0.0
2024-05-12 00:15:09;0;0;0;7.2;4.7;-3.20999999;1055.0;67.8;-2.81000001;-2.7;-1.97999999;42.8699996;-11.9;0.0
2024-05-12 00:20:09;0;0;0;8.2;3.6;-2.65000003;1055.0;67.4;-2.26000002;-2.1;-1.3;42.6799999;-12.059999999999999;0.0
2024-05-12 00:25:09;0;0;0;8.5;5.3;-2.094999995;1055.0;66.45;-1.754999985;-1.6;-0.8699999955000001;42.74500035;-11.545;0.0
2024-05-12 00:30:09;0;0;0;10.4;3.6;-1.7199999949999998;1055.0;66.5;-1.394999993;-1.125;-0.440000005;43.235000050000004;-12.040000000000001;0.0
2024-05-12 00:35:09;0;0;0;10.9;4.2;-1.224999998;1055.0;66.15;-0.920000004;-0.625;0.04000000299999999;42.71999985;-11.76;0.0
2024-05-12 00:40:09;0;0;0;11.5;3.6;-0.749999999;1055.0;65.55;-0.40000000049999995;-0.125;0.670000002;43.2050009;-11.945;0.0
2024-05-12 00:45:09;0;0;0;14.909090909090908;3.090909090909091;-0.47272727181818186;1055.0;64.63636363636364;-0.07272727181818182;0.35454545454545455;1.0545454472727274;43.10000072727273;-11.836363636363636;0.0
2024-05-12 00:50:10;0;0;0;14.5;3.2;0.129999996;1055.0;63.4;0.49000000200000005;0.9;1.7699999949999998;42.700001;-12.03;0.0
2024-05-12 00:55:10;0;0;0;15.4;2.7;0.58;1055.0;62.1;0.920000001;1.4;2.32999999;43.1300004;-11.97;0.0
2024-05-12 01:00:10;0;0;0;17.0;2.5;1.000000001;1055.0;60.6;1.340000013;1.9;2.8099999799999997;42.7099993;-11.74;0.0
2024-05-12 01:05:10;0;0;0;18.4;2.3;1.529999999;1055.0;59.8;1.859999999;2.5;3.4;42.8200001;-12.17;0.0
2024-05-12 01:10:10;0;0;0;17.9;2.4;2.07999999;1055.0;58.9;2.3899999999999997;3.0;3.95000001;42.629999399999996;-11.59;0.0
2024-05-12 01:15:10;0;0;0;17.875;2.75;2.593750025;1055.0;58.4375;2.99375005;3.5;4.66875003125;42.768749625;-12.0125;0.0
2024-05-12 01:20:10;0;0;0;19.9;1.7;2.99000004;1055.0;57.9;3.26000008;4.0;4.90000002;42.9199996;-11.77;0.0
2024-05-12 01:25:10;0;0;0;21.0;1.95;3.34;1055.0;57.65;3.6600000449999994;4.5;5.325000075;42.9049999;-11.915;0.0
2024-05-12 01:30:10;0;0;0;23.4;1.55;3.870000005;1055.0;56.75;4.1649999399999995;5.069999999999999;5.88499999;42.7449996;-11.74;0.0
2024-05-12 01:35:10;0;0;0;21.8;1.5;4.479999955;1055.0;56.4;4.7399999600000005;5.575;6.465000035;42.4400007;-11.57;0.0
2024-05-12 01:40:10;0;0;0;21.1;1.7;4.989999985;1055.0;56.4;5.2849999400000005;6.075;7.00499997;42.7550004;-12.095;0.0
2024-05-12 01:45:10;0;0;0;22.727272727272727;1.3636363636363635;5.4181818090909095;1055.0;55.81818181818182;5.672727281818182;6.554545454545454;7.4454546;42.654546454545454;-11.672727272727274;0.0
2024-05-12 01:50:11;0;0;0;21.3;1.5;6.07000003;1055.0;55.6;6.29000006;7.1;8.06999998;42.579999900000004;-11.98;0.0
2024-05-12 01:55:11;0;0;0;24.2;1.0;6.53000007;1055.0;55.6;6.74000001;7.7;8.54999995;42.5899997;-12.0;0.0
2024-05-12 02:00:11;0;0;0;24.6;1.0;6.99000006;1055.0;55.0;7.22000003;8.2;9.09999992;42.700001;-11.64;0.0
2024-05-12 02:05:11;0;0;0;22.0;1.0;7.64999995;1055.0;55.1;7.84999995;8.7;9.76;42.9899992;-12.059999999999999;0.0
2024-05-12 02:10:11;0;0;0;28.2;0.6;7.75999994;1055.0;54.7;7.93999986;9.1;9.830000100000001;42.6399997;-11.89;0.0
2024-05-12 02:15:11;0;0;0;17.75;0.4375;8.9375000625;1055.0;55.625;9.125;9.7;10.8125;43.0312496875;-11.725;0.0
2024-05-12 02:20:11;0;0;0;27.0;0.75;9.06999998;1055.0;55.8;9.20999992;10.3;11.01;42.920000099999996;-11.59;0.0
2024-05-12 02:25:11;0;0;0;23.55;0.95;9.729999920000001;1055.0;55.4;9.88000006;10.8;11.84;43.2400002;-11.98;0.0
2024-05-12 02:30:11;0;0;0;24.45;0.85;10.16000006;1055.0;55.35;10.305000080000001;11.275;12.205;43.050000749999995;-11.865;0.0
